source_string,code_system,concept_id,concept_name,domain_id,vocabulary_id,mapping_version,decided_by,decided_on,note
50854,SOURCE,3034639,Hemoglobin A1c [Mass/volume] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50854 'Absolute A1c' (Blood; Chemistry); community mapping, imported 2026-09-11"
50855,SOURCE,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50855 'Absolute Hemoglobin' (Blood; Chemistry); community mapping, imported 2026-09-11"
50856,SOURCE,3002617,Acetaminophen [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50856 'Acetaminophen' (Blood; Chemistry); community mapping, imported 2026-09-11"
50857,SOURCE,3022859,Acetone [Presence] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50857 'Acetone' (Blood; Chemistry); community mapping, imported 2026-09-11"
50858,SOURCE,3020233,Acid phosphatase [Enzymatic activity/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50858 'Acid Phosphatase' (Blood; Chemistry); community mapping, imported 2026-09-11"
50859,SOURCE,3009383,Non prostatic acid phosphatase [Enzymatic activity/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50859 'Acid Phosphatase, Non-Prostatic' (Blood; Chemistry); community mapping, imported 2026-09-11"
50860,SOURCE,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50860 'AFP, Maternal Screen' (Blood; Chemistry); community mapping, imported 2026-09-11"
50861,SOURCE,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50861 'Alanine Aminotransferase (ALT)' (Blood; Chemistry); community mapping, imported 2026-09-11"
50862,SOURCE,3024561,Albumin [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50862 'Albumin' (Blood; Chemistry); community mapping, imported 2026-09-11"
50863,SOURCE,3035995,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50863 'Alkaline Phosphatase' (Blood; Chemistry); community mapping, imported 2026-09-11"
50864,SOURCE,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50864 'Alpha-Fetoprotein' (Blood; Chemistry); community mapping, imported 2026-09-11"
50865,SOURCE,3036152,Amikacin [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50865 'Amikacin' (Blood; Chemistry); community mapping, imported 2026-09-11"
50866,SOURCE,3011958,Ammonia [Moles/volume] in Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50866 'Ammonia' (Blood; Chemistry); community mapping, imported 2026-09-11"
50867,SOURCE,3016771,Amylase [Enzymatic activity/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50867 'Amylase' (Blood; Chemistry); community mapping, imported 2026-09-11"
50868,SOURCE,3037278,Anion gap 4 in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50868 'Anion Gap' (Blood; Chemistry); community mapping, imported 2026-09-11"
50869,SOURCE,40766151,Gliadin peptide+tissue transglutaminase IgA+IgG Ab [Presence] in Serum by Immunoassay,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50869 'Anti-DGP (IgA/IgG)' (Blood; Chemistry); community mapping, imported 2026-09-11"
50870,SOURCE,40761803,Gliadin peptide IgA Ab [Units/volume] in Serum,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50870 'Anti-Gliadin Antibody, IgA' (Blood; Chemistry); community mapping, imported 2026-09-11"
50871,SOURCE,3005277,Mitochondria Ab [Presence] in Serum by Immunofluorescence,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50871 'Anti-Mitochondrial Antibody' (Blood; Chemistry); community mapping, imported 2026-09-11"
50872,SOURCE,3009628,Neutrophil cytoplasmic Ab [Presence] in Serum,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50872 'Anti-Neutrophil Cytoplasmic Antibody' (Blood; Chemistry); community mapping, imported 2026-09-11"
50873,SOURCE,3004616,Nuclear Ab [Presence] in Serum,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50873 'Anti-Nuclear Antibody' (Blood; Chemistry); community mapping, imported 2026-09-11"
50874,SOURCE,3002971,Nuclear Ab [Titer] in Serum by Immunofluorescence,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50874 'Anti-Nuclear Antibody, Titer' (Blood; Chemistry); community mapping, imported 2026-09-11"
50875,SOURCE,3018885,Parietal cell Ab [Presence] in Serum,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50875 'Anti-Parietal Cell Antibody' (Blood; Chemistry); community mapping, imported 2026-09-11"
50876,SOURCE,3005932,Smooth muscle Ab [Presence] in Serum,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50876 'Anti-Smooth Muscle Antibody' (Blood; Chemistry); community mapping, imported 2026-09-11"
50877,SOURCE,3025547,Thyroglobulin Ab [Units/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50877 'Anti-Thyroglobulin Antibodies' (Blood; Chemistry); community mapping, imported 2026-09-11"
50878,SOURCE,3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50878 'Asparate Aminotransferase (AST)' (Blood; Chemistry); community mapping, imported 2026-09-11"
50879,SOURCE,3003132,"Barbiturates [Presence] in Serum, Plasma or Blood",Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50879 'Barbiturate Screen' (Blood; Chemistry); community mapping, imported 2026-09-11"
50880,SOURCE,3031951,Benzodiazepines [Presence] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50880 'Benzodiazepine Screen' (Blood; Chemistry); community mapping, imported 2026-09-11"
50881,SOURCE,3013201,Beta-2-Microglobulin [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50881 'Beta-2 Microglobulin' (Blood; Chemistry); community mapping, imported 2026-09-11"
50882,SOURCE,3016293,Bicarbonate [Moles/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50882 'Bicarbonate' (Blood; Chemistry); community mapping, imported 2026-09-11"
50883,SOURCE,3027597,Bilirubin.direct [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50883 'Bilirubin, Direct' (Blood; Chemistry); community mapping, imported 2026-09-11"
50884,SOURCE,3007359,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50884 'Bilirubin, Indirect' (Blood; Chemistry); community mapping, imported 2026-09-11"
50885,SOURCE,3024128,Bilirubin.total [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50885 'Bilirubin, Total' (Blood; Chemistry); community mapping, imported 2026-09-11"
50889,SOURCE,3020460,C reactive protein [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50889 'C-Reactive Protein' (Blood; Chemistry); community mapping, imported 2026-09-11"
50890,SOURCE,3000620,Complement C3 [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50890 'C3' (Blood; Chemistry); community mapping, imported 2026-09-11"
50891,SOURCE,3017766,Complement C4 [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50891 'C4' (Blood; Chemistry); community mapping, imported 2026-09-11"
50892,SOURCE,3037551,Cancer Ag 125 [Units/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50892 'CA-125' (Blood; Chemistry); community mapping, imported 2026-09-11"
50893,SOURCE,3006906,Calcium [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50893 'Calcium, Total' (Blood; Chemistry); community mapping, imported 2026-09-11"
50894,SOURCE,36032269,Testosterone Free [Moles/volume] in Serum or Plasma by calculation,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50894 'Calculated Free Testosterone' (Blood; Chemistry); community mapping, imported 2026-09-11"
50895,SOURCE,3017523,Thyroxine (T4)/Thyroxine binding globulin [Mass Ratio] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50895 'Calculated TBG' (Blood; Chemistry); community mapping, imported 2026-09-11"
50896,SOURCE,3000551,Thyroxine (T4) free index in Serum or Plasma by calculation,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50896 'Calculated Thyroxine (T4) Index' (Blood; Chemistry); community mapping, imported 2026-09-11"
50898,SOURCE,3013520,Cancer Ag 27-29 [Units/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50898 'Cancer Antigen 27.29' (Blood; Chemistry); community mapping, imported 2026-09-11"
50899,SOURCE,3028639,carBAMazepine [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50899 'Carbamazepine' (Blood; Chemistry); community mapping, imported 2026-09-11"
50900,SOURCE,3003785,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50900 'Carcinoembyronic Antigen (CEA)' (Blood; Chemistry); community mapping, imported 2026-09-11"
50901,SOURCE,3014825,Centromere Ab [Presence] in Serum,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50901 'Centromere' (Blood; Chemistry); community mapping, imported 2026-09-11"
50902,SOURCE,3014576,Chloride [Moles/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50902 'Chloride' (Blood; Chemistry); community mapping, imported 2026-09-11"
